region,status
Edmonton,guessed
Meander River,missed
Habay,missed
Chateh,missed
Fort Chipewan,missed
Fort Vermilion,missed
Keg River,missed
Manning,missed
North Star,missed
Bitumount,missed
Fort MacKay,missed
Fort McMurray,missed
Conklin,missed
Wabaska,missed
Nampa,missed
Peace River,missed
Grimshaw,missed
Fairview,missed
Spirit River,missed
Sexsmith,missed
Beaverlodge,missed
Wembley,missed
Grande Prairie,missed
Falher,missed
McLennan,missed
High Prairie,missed
Faust,missed
Slave Lake,missed
Lac La Biche,missed
Cold Lake,missed
Bonnyville,missed
Athabasca,missed
Swan Hills,missed
Fox Creek,missed
Grande Cache,missed
Whitecourt,missed
Fawcett,missed
Westlock,missed
Smoky Lake,missed
St. Paul,missed
Elk Point,missed
Marwayne,missed
Two Hills,missed
Redwater,missed
St. Albert,missed
Stony Plain,missed
Drayton Valley,missed
Barrhead,missed
Edson,missed
Marlboro,missed
Hinton,missed
Jasper,missed
Cadomin,missed
Rockt Mountain House,missed
Lacombe,missed
Wetaskiwin,missed
Ponoka,missed
Leduc,missed
Camrose,missed
Viking,missed
Vermilion,missed
Wainwright,missed
Forestburg,missed
Stettler,missed
Red Deer,missed
Innisfail,missed
Coronation,missed
Consort,missed
Hanna,missed
Trochu,missed
Olds,missed
Westward Ho,missed
Lake Louise,missed
Banff,missed
Canmore,missed
Calgary,missed
Aridrie,missed
Drumheller,missed
Cereal,missed
Oyen,missed
Empress,missed
Cessford,missed
Bassano,missed
Standard,missed
Okotoks,missed
Turner Valley,missed
High River,missed
Nanton,missed
Brooks,missed
Hilda,missed
Medicine Hat,missed
Ralston,missed
Vauxhall,missed
Claresholm,missed
Fort Macleod,missed
Lethbridge,missed
Grassy Lake,missed
Taber,missed
Manyberries,missed
Milk River,missed
Cardston,missed
Hill Spring,missed
Pincher Creek,missed
