state,status
Iowa,guessed
Nevada,guessed
Virginia,guessed
Alabama,missed
Alaska,missed
Arizona,missed
Arkansas,missed
California,missed
Colorado,missed
Connecticut,missed
Delaware,missed
Florida,missed
Georgia,missed
Hawaii,missed
Idaho,missed
Illinois,missed
Indiana,missed
Kansas,missed
Kentucky,missed
Louisiana,missed
Maine,missed
Maryland,missed
Massachusetts,missed
Michigan,missed
Minnesota,missed
Mississippi,missed
Missouri,missed
Montana,missed
Nebraska,missed
New Hampshire,missed
New Jersey,missed
New Mexico,missed
New York,missed
North Carolina,missed
North Dakota,missed
Ohio,missed
Oklahoma,missed
Oregon,missed
Pennsylvania,missed
Rhode Island,missed
South Carolina,missed
South Dakota,missed
Tennessee,missed
Texas,missed
Utah,missed
Vermont,missed
Washington,missed
West Virginia,missed
Wisconsin,missed
Wyoming,missed
